Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Матвієнко,Арсен,Богданович,чоловіча,1979-01-12,Адвокат,селище Батурин,"узвіз Державіна, буд. 78 кв. 729, Самбір, 04114",+380 63 031 58 00,danchukoleh@example.com
Пелех,Аврелій,Петрович,чоловіча,1940-02-06,Льотчик,село Кам'янка-Дніпровська,"парк Совіньйонівський, буд. 64, Білогірськ, 80401",025 758-66-75,kmazepa@example.org
Вакуленко,Антон,Костянтинович,чоловіча,2004-05-31,Мікробіолог,місто Шепетівка,"шосе Кордонний, буд. 257, Апостолове, 71194",072 834-19-60,saliiada@example.org
Іванченко,Болеслав,Захарович,чоловіча,1995-05-11,Золотар,хутір Алчевськ,"площа Грузовий, буд. 35, Стебник, 89108",714 73 71,avreliisheremet@example.com
Деряжний,Олекса,Русланович,чоловіча,1990-07-28,Складальник,хутір Вільнянськ,"шосе Промисловий, буд. 68, Корсунь-Шевченківський, 99802",379-93-33,vira63@example.org
Лубенець,Богуслав,Леонідович,чоловіча,1963-04-04,М'ясник,хутір Куп'янськ,"набережна Старорізнична, буд. 89, Святогірськ, 35699",010 914 11 05,zakusyloazar@example.net
Зінченко,Камілла,Русланівна,жіноча,1941-09-12,Перекладач,місто Чортків,"площа Посмітного, буд. 0 кв. 14, Жовква, 60441",079-37-07,ievaiukhymenko@example.org
Гайворонська,Світлана,Іванівна,жіноча,1956-12-28,Психолог,село Хмільник,"парк Сашка Хорошенка, буд. 653, Білгород-Дністровський, 06945",+380 19 311-26-41,lukian25@example.org
Матвієнко,Орина,Григорівна,жіноча,2004-06-07,Хореограф,село Деражня,"площа Локомотивна, буд. 1 кв. 861, Горлівка, 20238",+380 (21) 034-91-12,jiarosh@example.com
Затовканюк,Борис,Вікторович,чоловіча,1954-07-03,Державний службовець,село Хрустальний,"площа Академічна, буд. 9, Авдіївка, 60556",+380 61 209 17 48,zhrechanyk@example.com
Короленко,Михайло,Петрович,чоловіча,1928-08-25,Графік,хутір Горлівка,"парк Прибережний, буд. 560 кв. 5, Нетішин, 70527",971 18 90,zorian09@example.com
Свириденко,Олена,Миколаївна,жіноча,1995-04-11,Клоун,село Свалява,"провулок Ванний, буд. 9, Соснівка , 86356",017 838-74-38,mykolai58@example.com
Козаченко,Станіслав,Сергійович,чоловіча,1929-04-02,Археолог,село Кобеляки,"узвіз Грибоєдова, буд. 8, Радехів, 73027",852 86 67,rderehus@example.net
Данько,Ірена,Петрівна,жіноча,1943-02-04,Провізор,селище Біла Церква,"сквер Ангарська, буд. 456, Олександрівськ, 08966",+380 54 499 41 82,anita79@example.net
Романенко,Богдан,Сергійович,чоловіча,1961-03-06,Епідеміолог,село Боярка,"парк Обільний 2-й, буд. 451 кв. 96, Ланівці, 60388",019 396 91 30,allahavrysh@example.com
Гречаник,Єва,Євгенівна,жіноча,1949-02-12,Конструктор,село Чортків,"узвіз Наявний 6-й, буд. 0 кв. 2, Голубівка, 88591",+380 83 985 04 46,rudkovitalii@example.com
Ковалюк,Августин,Захарович,чоловіча,1966-12-15,Мовознавець,місто Миколаївка ,"шосе Усатівська, буд. 1, Бахмут, 61936",013 591-58-54,erikagoliash@example.net
Їжакевич,Августин,Петрович,чоловіча,1953-11-02,Антрополог,селище Долинська,"сквер Соляний 7-й, буд. 51 кв. 88, Покров, 40362",+380 (27) 494-96-45,avreliibandura@example.net
Гаврюшенко,Спас,Тарасович,чоловіча,2005-04-02,Доцент,селище Первомайськ,"вулиця Студентський 2-й, буд. 065, Глухів, 09049",+380 23 966-95-92,gshevchenko@example.net
Тимченко,Устим,Юрійович,чоловіча,1944-10-31,Продюсер,хутір Люботин,"набережна Юхима Геллера, буд. 534, Золоте, 61421",008 179-44-16,danzaruba@example.com
Петренко,Макар,Дмитрович,чоловіча,1943-11-05,Професор,село Середина-Буда,"сквер Лазурний 5-й, буд. 360, Козятин, 53061",076 477-46-32,jorlyk@example.net
Їжак,Тарас,Петрович,чоловіча,1996-11-10,Мовознавець,хутір Хорол ,"парк 4-та Суворовська, буд. 28, Знам'янка, 32107",+380 (04) 169-63-25,makohonvioletta@example.org
Романенко,Владислав,Дмитрович,чоловіча,1937-12-10,Підприємець,хутір Обухів,"парк Тираспольська, буд. 28 кв. 11, Синельникове, 53713",379-90-74,liashkopanteleimon@example.net
Худобʼяк,Богдан,Дмитрович,чоловіча,1931-02-04,Філолог,хутір Херсон,"провулок Рибальська балка, буд. 27, Яворів, 31815",951 12 92,spas50@example.com
Колесниченко,Амалія,Євгенівна,жіноча,1958-03-18,Геолог,хутір Нововолинськ,"проспект Лінійна, буд. 5, Добромиль, 03337",+380 74 048-55-60,stetsnestor@example.org
Гузенко,Амвросій,Дмитрович,чоловіча,1972-08-13,Пекар,село Старий Крим,"парк Отрада, буд. 08 кв. 37, Донецьк, 26182",+380 12 380 33 10,arsenychfrants@example.com
Рубець,Стефан,Ярославович,чоловіча,1989-09-21,Музикант,місто Устилуг,"вулиця Польова, буд. 36, Синельникове, 27057",+380 42 714-38-86,marusiahres@example.org
Шаповал,Яків,Миколайович,чоловіча,1945-05-12,Редактор,місто Житомир,"парк Кондренка, буд. 4, Кобеляки, 97202",648-50-15,fhavryliuk@example.org
Проценко,Ігор,Федорович,чоловіча,1967-09-08,Прокурор,місто Васильків,"шосе Чорноморський 6-й, буд. 503, Великі Мости, 26554",019 575 24 82,chernenkobohdanna@example.org
Вакарчук,Любов,Іванівна,жіноча,2008-04-28,Геофізик,село Борислав,"узвіз Шишкіна, буд. 948 кв. 0, Бурштин , 07814",082 208 57 32,mnehoda@example.org
Малик,Олекса,Тарасович,чоловіча,2002-04-28,Мистецтвознавець,хутір Горлівка,"набережна Тіниста, буд. 18 кв. 22, Дружба , 93980",027 634-64-77,tsiupakyrylo@example.net
Батіг,Пріска,Євгенівна,жіноча,1940-12-24,Модельєр,місто Барвінкове,"шосе Матроський узвіз, буд. 8, Надвірна, 97320",+380 (66) 939-07-91,orkhypvelychko@example.org
Медведенко,Борислав,Ярославович,чоловіча,1953-04-05,Геофізик,хутір Макіївка,"площа Біляївська, буд. 12 кв. 84, Снятин, 76563",048 348 34 35,prubets@example.net
Сагаль,Адам,Іванович,чоловіча,1950-08-06,Мінералог,хутір Керч,"набережна Вернидуба, буд. 706 кв. 704, Сватове, 63808",+380 06 202-15-31,volodymyrababarychenko@example.org
Єременко,Данна,Богданівна,жіноча,1949-03-03,Паралегал,селище Житомир,"шосе Миколи Боровського, буд. 98 кв. 0, Довжанськ, 64797",072 272-27-91,deinekaserhii@example.org
Василенко,Роман,Захарович,чоловіча,1931-10-11,Єгер,місто Христинівка,"провулок Гагаріна, буд. 493, Амвросіївка, 63814",+380 (81) 838-34-01,stusnadiia@example.org
Олійник,Альберт,Євгенович,чоловіча,1960-01-23,Режисер,селище Зугрес,"вулиця Лазурний 6-й, буд. 677 кв. 7, Снятин, 85302",+380 (23) 508-33-03,cherednykhanna@example.com
Андрієнко,Єфрем,Костянтинович,чоловіча,1987-12-03,Професор,місто Волочиськ,"набережна Нескучна, буд. 216, Чорнобиль, 50667",+380 90 206-49-44,albinaiemets@example.com
Цушко,Варвара,Вікторівна,жіноча,1955-09-30,Актор,хутір Залізне,"провулок Городня, буд. 621 кв. 13, Вознесенськ, 67890",050 987-33-25,semenkanivets@example.net
